price_all,price_residential,price_commercial,price_industrial,production,date
12.34,15.69,12.24,7.61,163753273.0,2023-12-01
12.44,16.19,12.43,7.79,156751427.0,2023-11-01
12.67,16.48,12.73,8.01,154972712.0,2023-10-01
13.14,16.27,13.07,8.43,123578162.0,2023-09-01
13.27,15.91,13.08,8.9,123980047.0,2023-08-01
13.06,15.86,12.91,8.36,122535385.0,2023-07-01
12.72,16.09,12.63,8.11,120583249.0,2023-06-01
12.21,16.14,12.16,7.64,139650997.0,2023-05-01
12.16,16.1,12.08,7.51,181149234.0,2023-04-01
12.46,16.04,12.36,7.8,185215449.0,2023-03-01
12.67,15.98,12.53,8.01,175726286.0,2023-02-01
12.68,15.47,12.61,8.18,164478476.0,2023-01-01
12.4,14.94,12.28,8.5,166038228.0,2022-12-01
12.3,15.55,12.33,8.14,175655079.0,2022-11-01
12.66,15.99,12.89,8.45,141645815.0,2022-10-01
13.31,16.19,13.28,9.06,119901360.0,2022-09-01
13.44,15.82,13.41,9.38,109804732.0,2022-08-01
13.12,15.31,13.02,9.31,128889829.0,2022-07-01
12.75,15.3,12.75,8.85,145667136.0,2022-06-01
11.98,14.89,12.0,8.25,179285937.0,2022-05-01
11.56,14.57,11.82,7.7,195164486.0,2022-04-01
11.48,14.41,11.65,7.37,182972899.0,2022-03-01
11.42,13.76,11.66,7.28,160772504.0,2022-02-01
11.24,13.64,11.26,7.19,161272808.0,2022-01-01
11.03,13.72,11.15,7.06,171479596.0,2021-12-01
11.14,14.07,11.29,7.37,154039096.0,2021-11-01
11.24,14.06,11.52,7.44,139895475.0,2021-10-01
11.59,14.14,11.65,7.61,127110351.0,2021-09-01
11.55,13.92,11.52,7.54,119510346.0,2021-08-01
11.45,13.83,11.46,7.42,98252389.0,2021-07-01
11.25,13.83,11.33,7.22,117673566.0,2021-06-01
10.69,13.86,10.86,6.65,146540680.0,2021-05-01
10.63,13.73,10.87,6.7,155644126.0,2021-04-01
10.84,13.24,11.08,6.98,168083464.0,2021-03-01
11.16,13.01,11.36,7.75,117606574.0,2021-02-01
10.29,12.62,10.27,6.32,132008716.0,2021-01-01
10.37,12.78,10.41,6.41,139851583.0,2020-12-01
10.38,13.31,10.53,6.49,143923369.0,2020-11-01
10.65,13.66,10.72,6.72,126396897.0,2020-10-01
10.99,13.49,11.02,7.0,103827452.0,2020-09-01
11.02,13.26,10.9,7.07,103652668.0,2020-08-01
11.06,13.21,10.84,7.16,102955760.0,2020-07-01
10.88,13.22,10.89,6.94,131771688.0,2020-06-01
10.39,13.1,10.4,6.54,125317179.0,2020-05-01
10.34,13.24,10.37,6.39,130755104.0,2020-04-01
10.21,13.04,10.34,6.39,129725970.0,2020-03-01
10.22,12.82,10.3,6.44,127411574.0,2020-02-01
10.22,12.76,10.18,6.37,123692451.0,2020-01-01
10.22,12.68,10.32,6.38,117247176.0,2019-12-01
10.38,13.03,10.57,6.72,110203740.0,2019-11-01
10.39,12.81,10.74,6.84,120941404.0,2019-10-01
10.82,13.16,10.96,7.06,109379174.0,2019-09-01
11.05,13.3,11.02,7.4,91919426.0,2019-08-01
11.0,13.26,11.02,7.14,100140505.0,2019-07-01
10.74,13.32,10.9,6.87,101178545.0,2019-06-01
10.38,13.31,10.54,6.69,114403329.0,2019-05-01
10.24,13.25,10.52,6.51,126469459.0,2019-04-01
10.34,12.84,10.46,6.73,114898149.0,2019-03-01
10.4,12.72,10.54,6.69,101347406.0,2019-02-01
10.24,12.47,10.3,6.58,109242125.0,2019-01-01
10.21,12.43,10.33,6.67,110206606.0,2018-12-01
10.35,12.9,10.54,6.85,100283490.0,2018-11-01
10.41,12.85,10.77,6.87,96841492.0,2018-10-01
10.66,13.01,10.72,7.05,85748546.0,2018-09-01
11.01,13.26,11.03,7.25,91884049.0,2018-08-01
10.99,13.13,11.0,7.32,78264869.0,2018-07-01
10.75,13.03,10.84,7.17,110890753.0,2018-06-01
10.35,13.12,10.51,6.79,108269234.0,2018-05-01
10.18,12.88,10.46,6.57,117377966.0,2018-04-01
10.34,12.97,10.51,6.63,118608890.0,2018-03-01
10.42,12.63,10.65,6.78,104718598.0,2018-02-01
10.41,12.22,10.49,6.94,115026956.0,2018-01-01
10.17,12.45,10.28,6.54,101909954.0,2017-12-01
10.28,12.94,10.49,6.73,102897574.0,2017-11-01
10.4,12.8,10.78,6.91,109242722.0,2017-10-01
10.86,13.28,11.03,7.17,83783296.0,2017-09-01
10.91,13.15,11.01,7.22,68266941.0,2017-08-01
10.95,13.08,10.97,7.31,77265913.0,2017-07-01
10.83,13.2,11.01,7.19,92888067.0,2017-06-01
10.34,13.07,10.59,6.78,104877174.0,2017-05-01
10.07,12.72,10.4,6.6,113843410.0,2017-04-01
